HIST-30856-01		Working in America since 1945	Graff, Daniel	History	2012-08-06	2012-12-14	Fall$$1NA
PHYS-80501-01		Solid State Physics	Janko, Boldizsar	Physics	2014-12-20	2015-05-08	$$1Spring
ARCH-11011-01		Graphics I : Drawing	Bullene, Richard	Architecture	2013-08-05	2013-12-20	Fall$$1NA
HIST-43550-01		The Cold War	Soares, John	History	2012-08-06	2012-12-14	Fall$$1NA
THEO-10001-08		Foundations of Theology	Sanders, Aaron	Theology	2012-12-17	2013-05-10	Spring$$1NA
MELC-30025-01		The Arabic Literary Heritage	Guo, Li	Middle Eastern Literature in Translation	2012-12-17	2013-05-10	Spring$$1NA
ARCH-41111-04		Architectural Design V	Steil, Lucien	Architecture	2012-08-06	2012-12-14	Fall$$1NA
AMST-30112-01		Witnessing the Sixties	Giamo, Ben	American Studies	2014-12-20	2015-05-08	$$1Spring
ENGL-43507-01		Gender and Sexuality in Irish Fiction After Joyce	Harris, Susan	English	2014-12-20	2015-05-08	$$1Spring
HIST-13184-05		History University Seminar-Mental Health in American History	Hamlin, Christopher	History	2012-12-17	2013-05-10	Spring$$1NA
POLS-30596-01		Parties and Electoral Politics in the Developing World	Handlin, Sam	Political Science	2011-12-19	2012-05-11	Spring$$1NA
ARCH-71141-01		Classical Architecture I	Smith, Thomas Gordon	Architecture	2013-12-20	2014-05-09	Spring$$1NA
ROSP-40774-01		Good Neighbors	Anderson, Thomas	Romance Languages	2010-03-16	2010-05-08	$$1Spring$$2ENG$$3NA
THEO-83215-01		Islamic Origins	Reynolds, Gabriel	Theology	2014-07-28	2014-12-19	Fall$$1NA
ILS-40070-01		International Migration: Mex/US II	Bustamante, Jorge	Latino Studies	2014-12-20	2015-05-08	$$1Spring
CSEM-23102-23		Visualizing Politics	Coppedge, Michael	College Seminar	2010-01-04	2010-05-07	Spring ENG$$1NA
SOC-30079-01		Ethical Perspectives on Restorative Justice	Springs, Jason	Sociology	2014-12-20	2015-05-08	$$1Spring
PSY-30341-01		Multicultural Psychology	Park, Irene	Psychology	2010-01-06	2010-05-07	$$1Spring$$2ENG$$3NA
PHIL-93310-01		Frege	Blanchette, Patricia	Philosophy	2014-12-20	2015-05-08	$$1Spring
FTT-30461-01		History of Television	Becker, Christine	Film, Television and Theater	2014-07-28	2014-12-19	Fall$$1NA
ALHN-13595-01		Making of Market Society	Ruccio, David	Arts and Letters - Honors	2013-12-23	2014-05-09	$$1Spring$$2NA
CLLA-40016-01		Introduction to Christian Latin Literature	Muller, Hildegund	Latin Language and Literature	2010-08-09	2010-12-17	Fall$$1NA
HIST-30631-01		History of American Sport	Soares, John	History	2011-01-03	2011-05-13	Spring$$1NA
CLAS-73969-01		Philology: A critical and comparative history	Bloomer, W. Martin	Classics in Translation	2014-08-27	2014-12-19	Fall$$1NA
HESB-43543-01		Health, Healing, and Culture	Singh, Holly	Hesburg Prg. in Public Service	2012-12-17	2013-05-10	Spring$$1NA
HIST-30641-01		Work, Food, and Power in American History	Graff, Dan	History	2013-08-05	2013-12-20	Fall$$1NA
POLS-60226-01		International Security	Desch, Michael	Political Science	2013-08-05	2013-12-20	Fall$$1NA
SOC-30672-01		Religion and Social Life	Christiano, Kevin J.	Sociology	2014-07-28	2015-05-08	$$1Spring
HIST-93983-01		Sciences of the Mind	Bordogna, Francesca	History	2014-07-28	2014-12-19	Fall$$1NA
PHIL-20401-02		Ethics	Sterba, James	Philosophy	2014-07-28	2014-12-19	Fall$$1NA
ARCH-50419-01		Environmental Systems II	DeFrees, Alan	Architecture	2014-07-28	2014-12-19	Fall$$1NA
FIN-30210-05		Managerial Economics	Zabotina, Tatiana	Finance	2013-08-29	2013-12-20	Fall$$1NA
FIN-30220-05		Macroeconomic Analysis	Leady, Jim	Finance	2012-12-17	2013-05-10	$$1Spring$$2NA
FIN 20150-01		Corporate Financial Management	Ackerman, Carl	Finance	2013-08-23	2013-12-20	Fall$$1NA
ENG-40325-01		Decadent Modernity	Thomas, David	English	2011-11-11	2011-12-16	Fall$$1NA
POLS-20200-01		International Relations	Fazal, Tanisha	Political Science	2014-12-20	2015-05-08	$$1Spring
HIST-10061-01		Modern Africa	Ocobock, Paul	History	2011-12-19	2012-05-11	Spring$$1NA
